Name,Delayed,Flights.Total,Domestic passengers
"Atlanta, GA: Hartsfield-Jackson Atlanta International",55176,379498,43909249
"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",16295,94105,11171078
"Boston, MA: Logan International",24246,118012,13788461
"Charlotte, NC: Charlotte Douglas International",16747,109895,20408070
"Chicago, IL: Chicago Midway International",14398,88497,10426597
"Chicago, IL: Chicago O'Hare International",62123,313514,30536332
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",46733,260615,27802912
"Denver, CO: Denver International",40223,214135,25169693
"Detroit, MI: Detroit Metro Wayne County",18883,118311,14640404
"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",16567,79419,10474541
"Houston, TX: George Bush Intercontinental/Houston",29808,159910,15460397
"Las Vegas, NV: McCarran International",26169,145900,19938837
"Los Angeles, CA: Los Angeles International",45714,212435,26553833
"Miami, FL: Miami International",14891,75280,10483029
"Minneapolis, MN: Minneapolis-St Paul International",20170,122751,16321717
"New York, NY: John F. Kennedy International",21792,102094,13136651
"New York, NY: LaGuardia",26273,108151,13381212
"Newark, NJ: Newark Liberty International",23674,111485,12887716
"Orlando, FL: Orlando International",23531,120028,16269428
"Philadelphia, PA: Philadelphia International",14387,72106,13089866
"Phoenix, AZ: Phoenix Sky Harbor International",26199,159743,20190284
"Portland, OR: Portland International",8033,51634,8028865
"Salt Lake City, UT: Salt Lake City International",13206,105957,10341844
"San Diego, CA: San Diego International",13648,76414,9631458
"San Francisco, CA: San Francisco International",35080,162136,18783715
"Seattle, WA: Seattle/Tacoma International",19587,121292,17955740
"Tampa, FL: Tampa International",12851,69062,8822440
"Washington, DC: Ronald Reagan Washington National",14701,80617,11028492
"Washington, DC: Washington Dulles International",6695,37282,6890451
